Emp ID,Emp Name,Email Address,Job Title,Salary
101,Rocco Anderson,Rocco_Anderson5427@acrit.org,Project Manager,"$4,000.00"
102,Hank Saunders,Hank_Saunders8364@extex.org,Chef Manager,"$5,400.00"
103,Eden Connell,Eden_Connell4891@irrepsy.com,Chef Manager,"$3,000.00"
104,Owen Lindop,Owen_Lindop4826@womeona.net,Business Broker,"$8,000.00"
105,Barney Cavanagh,Barney_Cavanagh8048@extex.org,Fabricator,"$2,000.00"
106,Mason Randall,Mason_Randall7355@sheye.org,Food Technologist,"$5,000.00"
107,Penelope Burge,Penelope_Burge3295@cispeto.com,Book keeper,"$4,200.00"
108,Fred Stone,Fred_Stone667@cispeto.com,Stock broker,"$6,000.00"
109,Javier Power,Javier_Power8197@infotech44.tech,Designer,"$10,000.00"
110,Joyce London,Joyce_London9945@bulaffy.com,Steward,"$7,000.00"
111,Eduardo Dale,Eduardo_Dale6990@sheye.org,HR Coordinator,"$6,700.00"
112,Wade Hepburn,Wade_Hepburn96@gmail.com,Mobile Developer,"$12,000.00"
113,Barney Selby,Barney_Selby4788@irrepsy.com,Baker,"$2,300.00"
114,Peter Daniells,Peter_Daniells7930@guentu.biz,Webmaster,"$5,600.00"
115,Percy Denton,Percy_Denton5997@bretoux.com,Treasurer,"$4,200.00"
116,Ronald Rycroft,Ronald_Rycroft7391@tuliss.net,Book keeper,"$3,200.00"
117,Noah Kidd,Noah_Kidd6142@gompie.com,Banker,"$9,000.00"
118,Mark Freeburn,Mark_Freeburn4410@brety.org,Retail Trainee,"$5,300.00"
119,Melanie Cartwright,Melanie_Cartwright8871@irrepsy.com,IT Support Staff,"$6,400.00"
120,Harvey Andrews,Harvey_Andrews619@matthy.com,Business Broker,"$8,000.00"
